utc_ts,game,viewers
2025-06-21T19:28:59,Mario Kart World,15466
2025-06-21T19:28:59,Elden Ring: Nightreign,15047
2025-06-21T19:28:59,Fall Guys,14541
2025-06-21T19:28:59,PUBG: BATTLEGROUNDS,14372
2025-06-21T19:28:59,HELLDIVERS 2,14498
2025-06-21T19:28:59,Shadowverse: Worlds Beyond,13289
2025-06-21T19:28:59,Hunt: Showdown 1896,13346
2025-06-21T19:28:59,Tibia,13154
2025-06-21T19:28:59,Apex Legends,12805
2025-06-21T19:28:59,Brawl Stars,12575
2025-06-21T19:28:59,ROBLOX,12411
2025-06-21T19:28:59,Chrono Odyssey,12219
2025-06-21T19:28:59,Rust,12301
2025-06-21T19:28:59,Magic: The Gathering,11955
2025-06-21T19:28:59,Sports,11415
2025-06-21T19:28:59,Art,9614
2025-06-21T19:28:59,Sea of Thieves,11145
2025-06-21T19:28:59,Music,10698
2025-06-21T19:28:59,Escape from Tarkov,10139
2025-06-21T19:28:59,Old School RuneScape,10170
2025-06-21T19:28:59,Genshin Impact,9699
2025-06-21T19:28:59,Grand Theft Auto IV,9695
2025-06-21T19:28:59,Clair Obscur: Expedition 33,8826
2025-06-21T19:28:59,Clash Royale,8334
2025-06-21T19:28:59,Garena Free Fire,8615
2025-06-21T19:28:59,ASMR,8578
2025-06-21T19:28:59,Slots,8464
2025-06-21T19:28:59,Street Fighter 6,8161
2025-06-21T19:28:59,Teamfight Tactics,8007
2025-06-21T19:28:59,GODDESS OF VICTORY: NIKKE,7794
2025-06-21T19:28:59,Relic Guardian,7886
2025-06-21T19:28:59,Star Citizen,7171
2025-06-21T19:28:59,Retro,7007
2025-06-21T19:28:59,ELDEN RING,6970
2025-06-21T19:28:59,Death Stranding: Director's Cut,6588
2025-06-21T19:28:59,DayZ,6461
2025-06-21T19:28:59,Destiny 2,6297
2025-06-21T19:28:59,Parcel Simulator,6190
2025-06-21T19:28:59,Chess,6193
2025-06-21T19:28:59,Call of Duty,6072
2025-06-21T19:28:59,Gartic Phone,6074
2025-06-21T19:28:59,NBA 2K25,6063
2025-06-21T19:28:59,R.E.P.O.,5803
2025-06-21T19:28:59,Rocket League,5620
2025-06-21T19:28:59,Trackmania,5552
2025-06-21T19:28:59,Lies of P,5030
2025-06-21T19:28:59,Red Dead Redemption 2,5451
2025-06-21T19:28:59,Albion Online,5436
2025-06-21T19:28:59,Call of Duty: Black Ops 6,5412
2025-06-21T19:28:59,iRacing,5385
2025-06-21T19:28:59,Mobile Legends: Bang Bang,5443
2025-06-21T19:28:59,Heroes of Might and Magic III: The Restoration of Erathia,5301
2025-06-21T19:28:59,Always On,5229
2025-06-21T19:28:59,Slime Rancher,5144
2025-06-21T19:28:59,Pokémon Scarlet/Violet,5028
2025-06-21T19:28:59,FINAL FANTASY XIV ONLINE,4896
2025-06-21T19:28:59,"Animals, Aquariums, and Zoos",4994
2025-06-21T19:28:59,StarCraft II,4859
2025-06-21T19:28:59,Etheria: Restart,4812
2025-06-21T19:28:59,ARK: Survival Ascended,4754
2025-06-21T19:28:59,Garry's Mod,4654
2025-06-21T19:28:59,Arena Breakout: Infinite,4445
2025-06-21T19:28:59,Still Wakes the Deep,4392
2025-06-21T19:28:59,Black Desert,4292
2025-06-21T19:28:59,"Pools, Hot Tubs, and Beaches",4462
2025-06-21T19:28:59,Age of Empires II,4237
2025-06-21T19:28:59,RAIDOU Remastered: The Mystery of the Soulless Army,4266
2025-06-21T19:28:59,Crypto,4007
2025-06-21T19:28:59,Stellar Blade,4084
2025-06-21T19:28:59,Lost Ark,3773
2025-06-21T19:28:59,Zenless Zone Zero,3801
2025-06-21T19:28:59,Talk Shows & Podcasts,3818
2025-06-21T19:29:09,Counter-Strike,623163
2025-06-21T19:29:09,Just Chatting,595740
2025-06-21T19:29:09,VALORANT,313946
2025-06-21T19:29:09,IRL,111459
2025-06-21T19:29:09,Grand Theft Auto V,110683
2025-06-21T19:29:09,League of Legends,103795
2025-06-21T19:29:09,Dota 2,67076
2025-06-21T19:29:09,Call of Duty: Warzone,70258
2025-06-21T19:29:09,Path of Exile,60251
2025-06-21T19:29:09,Fortnite,59651
2025-06-21T19:29:09,The Blood of Dawnwalker,58362
2025-06-21T19:29:09,PEAK,44079
2025-06-21T19:29:09,Marvel Rivals,37628
2025-06-21T19:29:09,Overwatch 2,36452
2025-06-21T19:29:09,Minecraft,35477
2025-06-21T19:29:09,World of Warcraft,34259
2025-06-21T19:29:09,Special Events,31393
2025-06-21T19:29:09,Dead by Daylight,30487
2025-06-21T19:29:09,Borderlands 4,28607
2025-06-21T19:29:09,EA Sports FC 25,24784
2025-06-21T19:29:09,REMATCH,25001
2025-06-21T19:29:09,World of Tanks,22398
2025-06-21T19:29:09,DJs,22056
2025-06-21T19:29:09,Hearthstone,20128
2025-06-21T19:29:09,SCUM,16085
2025-06-21T19:29:09,Tom Clancy's Rainbow Six Siege X,16027
2025-06-21T19:29:09,Virtual Casino,16002
2025-06-21T19:29:09,Mario Kart World,15468
2025-06-21T19:29:09,Dune: Awakening,15006
2025-06-21T19:29:09,Elden Ring: Nightreign,15042
2025-06-21T19:29:09,Fall Guys,14541
2025-06-21T19:29:09,PUBG: BATTLEGROUNDS,14370
2025-06-21T19:29:09,HELLDIVERS 2,14498
2025-06-21T19:29:09,Shadowverse: Worlds Beyond,13289
2025-06-21T19:29:09,Hunt: Showdown 1896,13345
2025-06-21T19:29:09,Tibia,13154
2025-06-21T19:29:09,Apex Legends,12805
2025-06-21T19:29:09,Brawl Stars,12574
2025-06-21T19:29:09,ROBLOX,12411
2025-06-21T19:29:09,Chrono Odyssey,12218
2025-06-21T19:29:09,Rust,12300
2025-06-21T19:29:09,Magic: The Gathering,11955
2025-06-21T19:29:09,Sports,11414
2025-06-21T19:29:09,Art,9614
2025-06-21T19:29:09,Sea of Thieves,11145
2025-06-21T19:29:09,Music,10696
2025-06-21T19:29:09,Escape from Tarkov,10139
2025-06-21T19:29:09,Old School RuneScape,10170
2025-06-21T19:29:09,Grand Theft Auto IV,9695
2025-06-21T19:29:09,Genshin Impact,9699
2025-06-21T19:29:09,Clair Obscur: Expedition 33,8826
2025-06-21T19:29:09,Clash Royale,8334
2025-06-21T19:29:09,Garena Free Fire,8615
2025-06-21T19:29:09,ASMR,8578
2025-06-21T19:29:09,Slots,8046
2025-06-21T19:29:09,Street Fighter 6,8161
2025-06-21T19:29:09,Teamfight Tactics,8007
